,game,release,peak_players,total_reviews,rating
397,Family curse,2023-03-31,23,2,80.48
398,Horde Hunters,2023-02-16,47,2,80.48
399,Bone Dust,2023-02-21,13,4,80.47
400,LUNARK,2023-03-30,57,10,80.44
401,Undead Horde 2: Necropolis,2023-03-30,839,24,80.36
402,The Beast In The Cave,2023-02-07,21,3,80.36
403,The Fernweh Saga: Book One,2023-01-05,114,6,80.34
404,Nope Nope Nope Nurses,2023-01-20,20,4,80.32
405,bearcycle,2023-03-03,11,1,80.3
406,Wet Sand,2023-01-06,9,1,80.3
407,Keep the Keep,2023-03-15,4,0,80.28
408,First Racer,2023-04-05,10,0,80.28
409,Super Greedy Cat,2023-03-29,4,0,80.28
410,Endless Nesla,2023-01-24,4,0,80.28
411,메스가키 영애님!,2023-01-20,22,6,80.21
412,远征三国-策略卡牌,2023-02-17,49,12,80.2
413,The Simulacrum,2023-01-17,16,3,80.19
414,Germinal,2023-03-09,10,2,80.09
415,Offroad Mechanic Simulator: Prologue - First Job,2023-04-03,58,2,80.09
416,三国真龙传,2023-02-13,12,2,80.09
417,GunSoul Girl 2,2023-03-30,180,61,80.08
418,Research Story,2023-02-21,96,6,80.08
419,Hellscreen,2023-03-09,7,1,80.07
420,Conur Life,2023-03-06,7,1,80.07
421,A TAVERN FOR TEA,2023-03-24,8,1,80.07
422,Verlet Ascend,2023-02-28,20,5,80.04
423,Land of the Mage Lords,2023-01-29,18,4,80.01
424,Joon Shining,2023-02-17,3,0,80.0
425,Elohim Eternal: The Babel Code,2023-01-30,9,0,80.0
426,Heartwood Heroes,2023-03-27,43,0,80.0
427,The Overlord Isn't Another Isekai Protagonist  Is He?,2023-02-17,8,0,80.0
428,奇谭文字游戏,2023-02-09,9,0,80.0
429,SokoChess White,2023-03-03,8,0,80.0
430,Shooting Saucer,2023-04-06,11,0,80.0
431,Hood Warfare,2023-01-26,25,6,79.95
432,Dark Chess,2023-02-28,27,12,79.92
433,Socrates Jones: Pro Philosopher,2023-03-28,15,2,79.89
434,Striving for Light: Survival,2023-02-20,55,4,79.84
435,BDSM Love,2023-01-06,10,3,79.83
436,Finding Xavier,2023-01-20,5,3,79.83
437,Snafu,2023-03-08,11,3,79.83
438,WHALIEN - Unexpected Guests,2023-01-24,9,1,79.83
439,Re:Call,2023-01-17,13,1,79.83
440,Fairy Biography3 : Obsession,2023-03-24,166,24,79.74
441,《奇门遁甲》,2023-01-01,137,25,79.72
442,The Legend of Heroes: Kuro no Kiseki Ⅱ -CRIMSON SiN-,2023-01-25,1071,52,79.71
443,Drakkar Crew,2023-03-27,9,0,79.71
444,Asfalia,2023-01-23,5,0,79.71
445,Mega Mall Story 2,2023-03-06,67,0,79.71
446,Linked Worlds,2023-03-29,10,0,79.71
447,FAKE HEART,2023-03-25,9,0,79.71
448,Memory Traces: Egypt,2023-02-17,6,0,79.71
449,Brick Odyssey,2023-01-25,14,0,79.71
450,Wind Up,2023-01-12,27,0,79.71
451,Logic - Keypad,2023-03-10,3,0,79.71
452,Ashes of War,2023-01-27,6,0,79.71
453,Endless Dark,2023-02-22,6,0,79.71
454,TRAUMA Broken Paradise,2023-03-03,4,0,79.71
455,降妖散记,2023-04-03,883,44,79.7
456,District Steel,2023-02-16,8,2,79.68
457,No Questions Asked,2023-01-09,4,2,79.68
458,幻斋阴阳录 Genzai:Serialization,2023-01-20,45,14,79.66
459,Mr. Hopp's Playhouse 3,2023-03-17,38,3,79.65
460,Tokyo Necro,2023-03-13,76,7,79.62
461,Spellmasons,2023-01-31,127,11,79.61
462,The Tales of Bayun,2023-02-16,41,10,79.6
463,Story of Animal Sprite,2023-04-07,26,1,79.58
464,Black Reliquary,2023-03-24,542,40,79.51
465,Within The Backrooms,2023-01-13,9,2,79.46
466,Potion Brew: Co-op,2023-01-05,14,2,79.46
467,Webcam Sex,2023-01-20,9,2,79.46
468,Drop - System Breach,2023-03-28,54,3,79.45
469,Chef Life: A Restaurant Simulator,2023-02-23,840,87,79.42
470,Painting Werther,2023-02-14,4,0,79.39
471,Palette Swap,2023-01-21,4,0,79.39
472,Bullet Casters,2023-03-28,8,0,79.39
473,За Закатом Неминуем Рассвет,2023-03-31,6,0,79.39
474,Kairobotica,2023-01-16,21,0,79.39
475,Zellige: The Tilemaker of Granada,2023-02-17,4,0,79.39
476,FFF,2023-02-14,6,0,79.39
477,Project Malice,2023-01-20,12,0,79.39
478,呆呆大冒险,2023-02-22,20,0,79.39
479,UnknownPyramid,2023-02-22,36,0,79.39
480,ZaBaTa!,2023-03-28,19,0,79.39
481,100 Keys To Your Heart,2023-01-16,3,0,79.39
482,Hope,2023-01-27,3,0,79.39
483,Pretend Cars Racing,2023-03-08,4,0,79.39
484,Side Scape,2023-01-27,4,0,79.39
485,The Castle Burns!,2023-03-03,6,0,79.39
486,Yukiiro Sign,2023-03-24,11,0,79.39
487,Vernal Edge,2023-03-14,208,41,79.36
488,Locked In Mind,2023-01-04,82,40,79.36
489,SGS Taipings,2023-01-19,89,13,79.34
490,Belial Red,2023-03-11,218,4,79.32
491,Project Astra Dominium,2023-03-29,12,1,79.32
492,三國立志傳,2023-01-10,36,1,79.32
493,The Adventures of LinShanHai,2023-02-01,13,1,79.32
494,Chaos Galaxy 2,2023-01-06,107,26,79.31
495,GRANDMA,2023-01-07,30,26,79.25
496,Tropicalia,2023-02-28,14,5,79.25
497,AlexanderBall: A Countryball Tale,2023-01-20,23,3,79.25
498,Voltaire - The Vegan Vampire,2023-02-27,49,6,79.22
499,Territory: Farming and Fighting,2023-01-12,122,23,79.16
500,Redtape,2023-02-14,11,4,79.14
501,Barista Simulator,2023-01-12,78,20,79.06
502,Minigame Game,2023-02-03,8,0,79.05
