,game,link,release,peak_players,positive_reviews,negative_reviews,total_reviews,rating
311,天岚行 - Through the Mist and Sky,/app/865880/,Jun 6 2018,63,163,7,7,86.12%
312,True Fear: Forsaken Souls Part 2,/app/935580/,Nov 2 2018,153,457,36,36,86.10%
313,Superfighters Deluxe,/app/855860/,Nov 30 2018,146,"2,321",264,264,86.05%
314,AREA 4643,/app/948100/,Dec 21 2018,60,84,1,1,86.05%
315,My Big Sister,/app/733300/,Nov 9 2018,177,481,39,39,86.04%
316,Minit,/app/609490/,Apr 3 2018,251,"1,967",219,219,86.03%
317,"Kid,napper: Gosh, I'm Kidnapped by a Pupil",/app/862690/,May 31 2018,409,"3,687",446,446,86.01%
318,MEANDERS,/app/734920/,Feb 7 2018,32,376,28,28,86.00%
319,Skelly Selest,/app/685400/,May 1 2018,15,247,15,15,86.00%
320,tiny & Tall: Gleipnir Part One,/app/431280/,Sep 4 2018,52,170,8,8,85.96%
321,12 Labours of Hercules VIII: How I Met Megara,/app/938310/,Dec 26 2018,25,135,5,5,85.96%
322,Treasure Hunter Claire,/app/828070/,Jul 20 2018,702,"1,834",205,205,85.92%
323,Summer Memory of Bell,/app/871570/,Jul 23 2018,18,191,10,10,85.92%
324,Long Gone Days,/app/510540/,Mar 28 2018,44,274,18,18,85.91%
325,Tactical Monsters Rumble Arena,/app/705220/,Feb 1 2018,"1,283","4,025",498,498,85.90%
326,Ninjin: Clash of Carrots,/app/809870/,Sep 4 2018,21,323,23,23,85.90%
327,Atelier Meruru ~The Apprentice of Arland~ DX,/app/936190/,Dec 4 2018,66,212,12,12,85.90%
328,My So-called Future Girlfriend,/app/976420/,Dec 11 2018,20,243,15,15,85.89%
329,The Sand Man,/app/741250/,Jan 30 2018,13,190,10,10,85.88%
330,KOEWOTAYORINI SP / 声之寄托SP,/app/777200/,Feb 14 2018,58,211,12,12,85.87%
331,Merry Glade,/app/838390/,May 11 2018,10,211,12,12,85.87%
332,Grisaia Phantom Trigger Vol.5,/app/871280/,Jul 27 2018,108,108,3,3,85.87%
333,Cypher,/app/746710/,Feb 20 2018,172,577,51,51,85.86%
334,Virtual Virtual Reality,/app/889480/,Sep 7 2018,49,541,47,47,85.85%
335,SnowNight,/app/965860/,Dec 15 2018,38,339,25,25,85.83%
336,The Rose of Segunda,/app/858050/,May 31 2018,9,65,0,0,85.83%
337,Wreckfest,/app/228380/,Jun 14 2018,"3,865","28,896","4,149","4,149",85.81%
338,The Chronicles of Quiver Dick,/app/846880/,Jul 9 2018,8,177,9,9,85.81%
339,Old School Musical,/app/398030/,Sep 13 2018,92,701,66,66,85.79%
340,東周列萌志 Philosophic Love,/app/528060/,Aug 17 2018,208,716,68,68,85.77%
341,Sagebrush,/app/864100/,Sep 18 2018,5,176,9,9,85.77%
342,Pillars of Eternity II: Deadfire,/app/560130/,May 8 2018,"22,724","14,191","1,975","1,975",85.74%
343,Kara no Shojo,/app/965810/,Oct 22 2018,25,325,24,24,85.73%
344,Red Matter,/app/966680/,Nov 10 2018,35,795,78,78,85.72%
345,Damned Daniel,/app/932500/,Nov 30 2018,6,104,3,3,85.67%
346,BYTEPATH,/app/760330/,Feb 24 2018,87,264,18,18,85.64%
347,Thief Simulator,/app/704850/,Nov 9 2018,"5,974","18,787","2,685","2,685",85.63%
348,SEQUENCE STORM,/app/630640/,Dec 21 2018,16,139,6,6,85.63%
349,Saint Slaughter X Days,/app/846670/,Jul 31 2018,40,182,10,10,85.60%
350,"Football, Tactics & Glory",/app/375530/,Jun 1 2018,"1,020","3,163",395,395,85.58%
351,Lucy Got Problems,/app/879510/,Sep 28 2018,97,927,96,96,85.57%
352,Leaflet Love Story,/app/895220/,Aug 20 2018,60,666,64,64,85.57%
353,Heroes of Hammerwatch,/app/677120/,Mar 1 2018,"2,662","7,149",968,968,85.54%
354,Sector Six,/app/465020/,Sep 7 2018,77,211,13,13,85.54%
355,Octogeddon,/app/525620/,Feb 8 2018,156,688,67,67,85.53%
356,Gravity Bone,/app/974090/,Nov 8 2018,9,307,23,23,85.53%
357,UBERMOSH:SANTICIDE,/app/898450/,Jul 27 2018,18,180,10,10,85.53%
358,雨鸦 - You are my sanctuary,/app/938810/,Sep 25 2018,13,190,11,11,85.52%
359,Super Dangerous Dungeons,/app/856540/,Jul 2 2018,7,75,1,1,85.52%
360,Viki Spotter: Space Mission,/app/848280/,May 11 2018,23,124,5,5,85.47%
361,A Piece of Wish upon the Stars,/app/899190/,Nov 4 2018,27,157,8,8,85.46%
362,Lingering Fragrance,/app/880400/,Aug 11 2018,95,506,46,46,85.44%
363,Cardinal Cross,/app/815450/,Jul 10 2018,65,167,9,9,85.44%
364,Woodways,/app/818760/,Apr 2 2018,7,87,2,2,85.43%
365,Monster Hunter: World,/app/582010/,Aug 9 2018,"334,684","327,006","52,449","52,449",85.42%
366,Return.,/app/906390/,Aug 3 2018,40,856,89,89,85.42%
367,Who Am I: The Tale of Dorothy,/app/821790/,Apr 16 2018,78,348,28,28,85.42%
368,Bio Inc. Redemption,/app/612470/,Mar 8 2018,340,"1,560",181,181,85.41%
369,Dungeon Warfare 2,/app/698540/,Jul 6 2018,684,823,85,85,85.41%
370,Shotgun Legend,/app/597230/,Jan 15 2018,"1,976",711,71,71,85.41%
371,Rapid Tap,/app/746920/,Jan 23 2018,25,353,29,29,85.33%
372,VR Furballs - Demolition,/app/704470/,Nov 9 2018,8,143,7,7,85.32%
373,Music Racer,/app/893030/,Jul 20 2018,"18,509","3,170",408,408,85.31%
374,Jurassic World Evolution,/app/648350/,Jun 12 2018,"60,296","43,931","6,746","6,746",85.28%
375,Project Hospital,/app/868360/,Oct 30 2018,"2,673","5,693",780,780,85.25%
376,"So, uh... a spaceship crashed in my yard.",/app/899610/,Aug 6 2018,117,202,13,13,85.24%
377,Overclocked,/app/745560/,Oct 10 2018,488,295,23,23,85.23%
378,Sable's Grimoire,/app/717850/,May 18 2018,38,119,5,5,85.22%
379,YumeCore,/app/771240/,Feb 16 2018,49,161,9,9,85.20%
380,Tesla vs Lovecraft,/app/636100/,Jan 26 2018,241,988,109,109,85.19%
381,Beholder 2,/app/761620/,Dec 5 2018,"1,981","4,950",675,675,85.18%
382,Putin VS ISIS,/app/805820/,Apr 2 2018,5,274,21,21,85.15%
383,Pivot XL,/app/843440/,May 14 2018,8,139,7,7,85.14%
384,Iris.Fall,/app/907470/,Dec 7 2018,172,"2,383",303,303,85.12%
385,DAMNOSAUR,/app/974950/,Nov 30 2018,65,273,21,21,85.12%
386,This Is Not A Jumping Game,/app/745890/,Feb 24 2018,12,117,5,5,85.12%
387,Ouroboros,/app/822830/,May 25 2018,77,117,5,5,85.12%
388,Istanbul: Digital Edition,/app/943410/,Oct 18 2018,50,207,14,14,85.08%
389,Rifter,/app/625740/,Jul 12 2018,37,105,4,4,85.08%
390,MUSYNX,/app/952040/,Dec 5 2018,458,"4,223",574,574,85.07%
391,Ys VIII: Lacrimosa of Dana,/app/579180/,Apr 16 2018,540,"4,102",556,556,85.07%
392,Spiral Clicker,/app/950860/,Oct 25 2018,545,"1,249",146,146,85.06%
393,Bonds,/app/955400/,Nov 1 2018,11,93,3,3,85.05%
394,Rocket Boots Mania,/app/942200/,Nov 29 2018,7,54,0,0,85.04%
395,Dead Dungeon,/app/751640/,Nov 12 2018,12,233,17,17,85.01%
396,The MISSING: J.J. Macfield and the Island of Memories,/app/842910/,Oct 11 2018,84,"1,027",117,117,85.00%
397,Monster Garden,/app/719660/,Feb 8 2018,2,80,2,2,84.98%
398,Go Morse Go! Arcade Edition,/app/797570/,Feb 26 2018,6,53,0,0,84.95%
399,POLYBIUS,/app/906120/,Dec 21 2018,12,203,14,14,84.94%
400,古剑奇谭三(Gujian3),/app/994280/,Dec 14 2018,"10,183","38,010","5,990","5,990",84.93%
401,Nefertari: Journey to Eternity,/app/861400/,Jun 28 2018,15,193,13,13,84.92%
402,Disgaea 5 Complete,/app/803600/,Oct 22 2018,"2,191","2,655",350,350,84.91%
403,Spellsworn,/app/360620/,Mar 13 2018,"1,517","1,207",143,143,84.91%
404,LEGO® The Incredibles,/app/818320/,Jun 15 2018,285,"1,127",132,132,84.91%
405,Colorzzle,/app/818500/,Aug 10 2018,60,113,5,5,84.91%
406,The friends of Ringo Ishikawa,/app/846110/,May 17 2018,439,"1,598",198,198,84.89%
407,How To Cope With Boredom and Loneliness,/app/797390/,Apr 2 2018,21,463,45,45,84.84%
408,Traum,/app/810230/,Mar 19 2018,43,315,27,27,84.84%
409,Shenmue I & II,/app/758330/,Aug 21 2018,"1,554","2,199",286,286,84.83%
410,Grim Nights,/app/947300/,Oct 12 2018,613,"1,168",139,139,84.83%
411,Trapper's Delight,/app/467760/,Mar 6 2018,68,263,21,21,84.83%
412,Infinos Gaiden,/app/771070/,Jan 20 2018,16,65,1,1,84.81%
413,Ameagari no Hanaby,/app/888990/,Sep 22 2018,17,65,1,1,84.81%
414,Light Bearers,/app/765710/,Oct 23 2018,248,"1,020",119,119,84.80%
415,1943 Berlin Blitz,/app/513490/,Oct 4 2018,20,252,20,20,84.77%
416,Righty Tighty XL,/app/843430/,May 14 2018,7,121,6,6,84.77%
417,Isoland,/app/831570/,May 2 2018,50,216,16,16,84.75%
418,Valkyria Chronicles 4 Complete Edition,/app/790820/,Sep 25 2018,"2,546","4,926",702,702,84.74%
419,Graveyard Keeper,/app/599140/,Aug 15 2018,"16,993","27,275","4,316","4,316",84.73%
420,Headliner: NoviNews,/app/918820/,Oct 23 2018,198,628,67,67,84.73%
421,Squidlit,/app/799510/,Mar 2 2018,11,385,36,36,84.73%
422,The Endless Empty,/app/959410/,Nov 3 2018,11,140,8,8,84.71%
423,CHRONO TRIGGER,/app/613830/,Feb 27 2018,953,"6,376",931,931,84.70%
424,Juicy Realm,/app/732370/,May 3 2018,"1,944","2,994",409,409,84.70%
425,Minotaur Arcade Volume 1,/app/906110/,Dec 21 2018,6,50,0,0,84.69%
426,From Beyond Prologue,/app/971430/,Dec 7 2018,8,87,3,3,84.66%
427,A Game About,/app/927990/,Nov 6 2018,30,725,81,81,84.62%
428,Paladins,/app/444090/,May 8 2018,"60,743","286,328","49,216","49,216",84.57%
429,Dominari Tournament,/app/662930/,May 14 2018,11,62,1,1,84.57%
430,The 25th Ward: The Silver Case,/app/697650/,Mar 13 2018,41,254,21,21,84.56%
431,Omensight,/app/455820/,May 15 2018,245,"1,247",155,155,84.55%
432,Football Game,/app/654550/,Feb 13 2018,5,219,17,17,84.54%
433,Foto Flash,/app/778610/,Feb 1 2018,155,253,21,21,84.53%
434,Taphouse VR,/app/591680/,Sep 27 2018,39,201,15,15,84.53%
435,First Winter,/app/816120/,May 8 2018,7,96,4,4,84.53%
436,Football Manager 2019,/app/872790/,Nov 2 2018,"75,982","10,779","1,662","1,662",84.50%
437,War of Rights,/app/424030/,Dec 3 2018,"1,327","8,217","1,245","1,245",84.50%
438,Hentai Memory,/app/873240/,Jul 20 2018,"10,925","1,303",164,164,84.50%
439,Pig Eat Ball,/app/339090/,Sep 27 2018,268,73,2,2,84.48%
440,Cyberdimension Neptunia: 4 Goddesses Online,/app/632350/,Feb 27 2018,"3,750","3,992",574,574,84.47%
441,Project Warlock,/app/893680/,Dec 6 2018,365,"3,865",554,554,84.47%
442,Witch Hunt,/app/661790/,Sep 3 2018,130,"1,796",237,237,84.47%
443,Hentai Mosaique Puzzle,/app/993740/,Dec 20 2018,842,578,63,63,84.43%
444,The Chronicles of Nyanya,/app/704200/,Feb 16 2018,37,144,9,9,84.43%
445,Disneyland Adventures,/app/630610/,Sep 14 2018,103,464,48,48,84.42%
446,BEKKOUAME,/app/809250/,Apr 12 2018,24,206,16,16,84.39%
447,Pocket Rogues,/app/946610/,Oct 25 2018,30,265,23,23,84.38%
448,Orion Sandbox Enhanced,/app/929670/,Sep 21 2018,22,368,36,36,84.35%
449,TOK,/app/904570/,Nov 15 2018,9,222,18,18,84.35%
450,Clue/Cluedo: The Classic Mystery Game,/app/794800/,May 17 2018,355,"2,213",304,304,84.33%
451,Zero G Arena,/app/467820/,Aug 9 2018,133,655,75,75,84.27%
452,Bing Bong XL,/app/840930/,May 14 2018,7,194,15,15,84.26%
453,Regions Of Ruin,/app/680360/,Feb 5 2018,"3,062","3,751",548,548,84.25%
454,妄想症 Deliver Me,/app/779640/,Aug 10 2018,656,"1,789",242,242,84.24%
455,Swaps and Traps,/app/670610/,Feb 12 2018,12,70,2,2,84.24%
456,Shantae: Half-Genie Hero Ultimate Edition,/app/764300/,May 8 2018,60,667,77,77,84.23%
457,Panzer War:Definitely Edition (Cry of War),/app/798840/,Mar 1 2018,58,609,69,69,84.23%
458,The King's Request: Physiology and Anatomy Revision Game,/app/873230/,Jun 25 2018,18,149,10,10,84.22%
459,Ben and Ed - Blood Party,/app/500260/,Feb 13 2018,443,"1,751",237,237,84.21%
460,Lamplight City,/app/761460/,Sep 13 2018,85,549,61,61,84.20%
461,Gachimuchi Reloaded,/app/766730/,Feb 14 2018,6,201,16,16,84.20%
462,Frightened Beetles,/app/823830/,May 11 2018,18,360,36,36,84.16%
463,Battlezone: Combat Commander,/app/624970/,Mar 1 2018,282,646,75,75,84.14%
464,Caliban Below,/app/649890/,Jun 20 2018,8,191,15,15,84.14%
465,Seers Isle,/app/738650/,Sep 18 2018,39,146,10,10,84.08%
466,War Brokers,/app/750470/,Apr 18 2018,40,341,34,34,84.06%
467,Insurgency: Sandstorm,/app/581320/,Dec 12 2018,"14,606","91,796","16,039","16,039",84.05%
468,Stoneshard: Prologue,/app/869760/,Jun 5 2018,735,"3,062",448,448,84.05%
469,Nippon Marathon,/app/746940/,Dec 17 2018,19,262,24,24,84.04%
470,NARUTO TO BORUTO: SHINOBI STRIKER,/app/633230/,Aug 30 2018,"6,310","44,451","7,617","7,617",84.03%
471,AHEGAL,/app/865090/,Oct 11 2018,149,"1,184",155,155,84.03%
472,Wild Animal Sports Day,/app/741990/,Aug 31 2018,23,261,24,24,84.00%
473,The Rabbit and The Owl,/app/561260/,Aug 3 2018,7,43,0,0,84.00%
474,Iconoclasts,/app/393520/,Jan 23 2018,932,"3,494",521,521,83.98%
475,Simmiland,/app/932850/,Nov 30 2018,749,"1,336",179,179,83.97%
476,TANKS,/app/866420/,Jun 12 2018,23,116,7,7,83.93%
477,TANGLEWOOD,/app/837190/,Aug 14 2018,13,77,3,3,83.93%
478,蓝宝石般的被害妄想少女,/app/970510/,Nov 28 2018,207,700,85,85,83.91%
479,Galimulator,/app/808100/,Mar 16 2018,76,387,41,41,83.90%
480,Eroico,/app/947600/,Oct 17 2018,40,"1,029",134,134,83.88%
481,Diner Bros,/app/846800/,Jul 6 2018,91,622,74,74,83.88%
482,Scavenger SV-4,/app/779590/,Feb 1 2018,40,364,38,38,83.88%
483,Mike Dies,/app/696200/,Feb 23 2018,11,42,0,0,83.88%
484,Super Mega Baseball 2,/app/414870/,May 1 2018,487,913,117,117,83.85%
485,Grabity,/app/652810/,May 30 2018,9,54,1,1,83.84%
486,360 No Scope Arena,/app/883100/,Sep 6 2018,27,591,70,70,83.83%
487,Acid Nimbus,/app/909110/,Oct 1 2018,483,167,13,13,83.83%
488,Q-YO Blaster,/app/772610/,Jan 15 2018,9,158,12,12,83.81%
489,QuiVr,/app/489380/,Jun 18 2018,68,448,50,50,83.80%
490,Dead,/app/527150/,Apr 6 2018,987,183,15,15,83.80%
491,Delver,/app/249630/,Feb 1 2018,684,"2,353",344,344,83.79%
492,WARRIORS OROCHI 4,/app/831560/,Oct 16 2018,"5,924","4,202",649,649,83.78%
493,Tempest of the Heavens and Earth,/app/994020/,Dec 26 2018,52,262,25,25,83.78%
494,CometStriker DX,/app/701040/,Jun 8 2018,12,53,1,1,83.74%
495,Exiled Kingdoms,/app/788270/,Feb 23 2018,217,700,87,87,83.72%
496,Without Within 3,/app/676130/,May 3 2018,6,64,2,2,83.72%
497,Super Jigsaw Puzzle: Cities,/app/862110/,May 29 2018,20,64,2,2,83.72%
498,60 Parsecs!,/app/646270/,Sep 18 2018,727,"2,481",368,368,83.70%
499,Shooting Hurts,/app/931700/,Sep 18 2018,33,236,22,22,83.69%
500,E.Z,/app/795040/,Feb 17 2018,15,204,18,18,83.67%
501,Warhammer: Vermintide 2,/app/552500/,Mar 8 2018,"104,323","92,577","16,717","16,717",83.65%
502,The Mirror Lied,/app/828050/,Oct 25 2018,27,621,76,76,83.65%
503,Verlet Swing,/app/811870/,Sep 18 2018,64,525,62,62,83.65%
504,Kaiju Big Battel: Fighto Fantasy,/app/611710/,Oct 31 2018,4,40,0,0,83.65%
505,ReThink | Evolved 2,/app/820600/,Apr 9 2018,5,40,0,0,83.65%
506,Space Invaders Extreme,/app/744050/,Feb 13 2018,46,179,15,15,83.63%
507,Next 4,/app/856120/,Jun 1 2018,30,111,7,7,83.61%
508,DRAGON QUEST® XI: Echoes of an Elusive Age™,/app/742120/,Sep 4 2018,"11,793","7,472","1,224","1,224",83.58%
509,Dark Fantasy: Jigsaw Puzzle,/app/955320/,Nov 17 2018,19,300,31,31,83.56%
510,Flat Heroes,/app/508790/,Aug 2 2018,122,436,50,50,83.55%
511,Fei Duanmu VS Kobayashi 端木斐 VS 小林正雪,/app/806740/,Nov 1 2018,47,169,14,14,83.54%
512,Because We're Here ~Mohnblume und Blauerose~,/app/869350/,Jul 19 2018,34,82,4,4,83.53%
513,Desktop Tree,/app/913110/,Sep 18 2018,12,82,4,4,83.53%
514,Chicken in the Darkness,/app/928680/,Oct 29 2018,3,39,0,0,83.53%
515,SPAGHET,/app/821320/,Apr 13 2018,9,152,12,12,83.51%
516,OK K.O.! Let’s Play Heroes,/app/680700/,Jan 23 2018,48,118,8,8,83.50%
517,Grapple Force Rena,/app/794550/,Dec 4 2018,22,118,8,8,83.50%
518,Life is Strange 2,/app/532210/,Sep 26 2018,"468,717","24,669","4,327","4,327",83.49%
519,Reignfall,/app/935930/,Dec 10 2018,48,348,38,38,83.48%
520,The Painter's Playground,/app/722330/,Feb 8 2018,15,61,2,2,83.44%
521,One Ping Only,/app/828030/,Apr 15 2018,13,213,20,20,83.40%
522,Rolling Bird,/app/978800/,Dec 28 2018,21,166,14,14,83.39%
523,Remyadry,/app/867490/,Jul 10 2018,291,489,59,59,83.36%
524,秋色的記憶(體驗版) / Fall...in Love (Demo),/app/890070/,Jul 26 2018,17,141,11,11,83.36%
525,Choice of Magics,/app/918380/,Aug 10 2018,213,141,11,11,83.36%
526,PUSS!,/app/719750/,Aug 2 2018,93,"1,072",149,149,83.35%
527,puzzlement,/app/775530/,Feb 1 2018,16,196,18,18,83.33%
528,Lonely Yuri,/app/800120/,Mar 7 2018,7,123,9,9,83.27%
529,Gnomes Garden: Christmas Story,/app/940800/,Dec 12 2018,7,37,0,0,83.27%
530,Tardy,/app/815000/,Mar 9 2018,31,179,16,16,83.26%
531,GLAD VALAKAS TOWER DEFENCE,/app/988980/,Dec 14 2018,11,139,11,11,83.24%
532,ЕСТЬ ДВА СТУЛА,/app/873190/,Jun 19 2018,25,"1,337",194,194,83.22%
533,JJBoom,/app/895140/,Sep 12 2018,122,178,16,16,83.22%
534,Aura of Worlds,/app/841600/,Apr 24 2018,4,78,4,4,83.19%
535,Little Bug,/app/822190/,Sep 25 2018,14,48,1,1,83.19%
536,Varenje,/app/460060/,Jul 3 2018,127,"1,117",159,159,83.18%
537,Full Ace Tennis Simulator,/app/779430/,Feb 28 2018,61,302,33,33,83.18%
538,Bladed Fury,/app/927250/,Dec 18 2018,"1,191","2,663",419,419,83.16%
539,Sakura Cupid,/app/733740/,Feb 12 2018,49,244,25,25,83.16%
540,Koihime Enbu RyoRaiRai,/app/795510/,Jul 13 2018,112,129,10,10,83.14%
541,vridniX,/app/817710/,Aug 16 2018,5,36,0,0,83.14%
542,SUPER FLAIL,/app/891130/,Aug 3 2018,22,137,11,11,83.13%
543,I L L U S I O N,/app/843170/,May 9 2018,4,58,2,2,83.13%
544,Rage In Peace,/app/658690/,Nov 8 2018,28,292,32,32,83.09%
545,STAR WARS™ Episode I Racer,/app/808910/,Nov 16 2018,210,"1,461",218,218,83.06%
546,Adventure Time: Pirates of the Enchiridion,/app/728240/,Jul 17 2018,59,513,65,65,83.04%
547,Unforeseen Incidents,/app/501790/,May 24 2018,88,679,91,91,83.02%
548,4D Minesweeper,/app/787980/,Feb 14 2018,89,254,27,27,83.00%
549,与雾雨魔理沙一起偷重要的东西 ~ Happy Stealing with Kirisame Marisa,/app/880490/,Jun 30 2018,17,196,19,19,83.00%
550,BlamBox,/app/899270/,Oct 2 2018,4,35,0,0,83.00%
551,A Winter's Daydream,/app/925340/,Oct 15 2018,4,35,0,0,83.00%
552,ReThink 2,/app/934410/,Oct 2 2018,6,35,0,0,83.00%
553,Surviving Mars,/app/464920/,Mar 15 2018,"23,744","20,231","3,668","3,668",82.99%
554,pla_toon,/app/891220/,Aug 13 2018,129,"1,236",182,182,82.98%
555,Wolf & Rabbit,/app/757180/,Apr 4 2018,27,246,26,26,82.97%
556,Sandmade,/app/851730/,May 16 2018,5,142,12,12,82.96%
557,Mobile Forces,/app/837940/,Jun 8 2018,7,66,3,3,82.95%
558,The Sunny Day 晴天,/app/887160/,Jul 6 2018,6,66,3,3,82.95%
559,The Majesty of Colors Remastered,/app/632880/,Feb 28 2018,9,46,1,1,82.95%
560,Wormster Dash,/app/818050/,Oct 1 2018,6,46,1,1,82.95%
561,Project LUX,/app/574140/,Feb 2 2018,28,321,37,37,82.92%
562,Transpose,/app/835950/,Nov 6 2018,169,216,22,22,82.92%
563,Inline,/app/716010/,Jun 1 2018,11,56,2,2,82.91%
564,StrikeForce Kitty,/app/745330/,Feb 20 2018,152,498,64,64,82.87%
565,The Fruitless Flower 雾雨中的徒花,/app/766560/,Mar 9 2018,7,92,6,6,82.87%
566,Timespinner,/app/368620/,Sep 25 2018,395,"2,000",315,315,82.86%
567,Vカツ / V-Katsu,/app/856620/,Aug 1 2018,435,471,60,60,82.85%
568,Solid Aether,/app/910730/,Sep 28 2018,10,34,0,0,82.85%
569,Perceptions of the Dead 2,/app/817860/,Jun 14 2018,5,65,3,3,82.84%
570,Carly and the Reaperman,/app/547480/,Jun 19 2018,14,170,16,16,82.83%
571,Tiny Bird Garden Deluxe,/app/945440/,Dec 18 2018,75,124,10,10,82.82%
572,Hellblade: Senua's Sacrifice VR Edition,/app/747350/,Jul 31 2018,169,"1,110",164,164,82.81%
573,Catch & Release,/app/679750/,Jun 7 2018,31,297,34,34,82.81%
574,Underhero,/app/573320/,Sep 19 2018,114,886,127,127,82.80%
575,Welcome to the Game II,/app/720250/,Apr 3 2018,518,"2,090",333,333,82.79%
576,Penny Black,/app/839240/,May 17 2018,23,82,5,5,82.76%
577,Shadow of the Tomb Raider,/app/750920/,Sep 14 2018,"38,268","54,857","10,488","10,488",82.74%
578,Ultimate Racing 2D,/app/808080/,May 24 2018,61,414,52,52,82.74%
579,【SCP】器関ノ彷徨 -The will of a single Tale-【DEMOver.】,/app/836940/,May 4 2018,33,301,35,35,82.72%
580,Rainy Day Racer,/app/862130/,Jul 13 2018,4,33,0,0,82.70%
581,Heart of Moon : The Mask of Seasons,/app/976960/,Dec 6 2018,11,33,0,0,82.70%
582,Hidden Paws,/app/816490/,Mar 22 2018,56,601,82,82,82.67%
583,Blast-off,/app/391140/,Jan 22 2018,"1,948",332,40,40,82.65%
584,Remnants of Naezith,/app/590590/,Feb 5 2018,79,518,69,69,82.64%
585,Corpse Party: Book of Shadows,/app/778390/,Oct 29 2018,50,318,38,38,82.62%
586,Capcom Beat 'Em Up Bundle,/app/885150/,Oct 10 2018,156,870,127,127,82.60%
587,SEPTEMBER 1999,/app/952250/,Oct 10 2018,26,"1,693",269,269,82.59%
588,Guns'n'Stories: Bulletproof VR,/app/685690/,Mar 8 2018,24,356,44,44,82.58%
589,Egypt: Old Kingdom,/app/646500/,May 24 2018,277,909,134,134,82.57%
590,Moondust: Knuckles Tech Demos,/app/887260/,Jun 21 2018,35,53,2,2,82.56%
591,Yokai Mask,/app/708160/,Sep 21 2018,4,43,1,1,82.55%
592,Arcane Golf,/app/897800/,Jul 26 2018,4,43,1,1,82.55%
593,GonzoVR,/app/935120/,Oct 1 2018,476,43,1,1,82.55%
594,Snail Trek - Chapter 4: The Final Fondue,/app/774531/,Mar 30 2018,4,32,0,0,82.55%
595,Red Embrace,/app/796940/,Feb 15 2018,15,135,12,12,82.54%
596,Koloro,/app/574590/,May 18 2018,46,71,4,4,82.54%
597,Stunt Simulator Multiplayer,/app/979090/,Dec 7 2018,16,71,4,4,82.54%
598,Jewel Match Twilight Solitaire,/app/918670/,Sep 13 2018,15,96,7,7,82.53%
599,Next 3,/app/817190/,Apr 3 2018,6,127,11,11,82.51%
600,GRIP: Combat Racing,/app/396900/,Nov 6 2018,622,"3,475",594,594,82.50%
601,Great Hero's Beard,/app/935270/,Oct 18 2018,"2,175",991,149,149,82.49%
602,Pro Office Calculator,/app/914430/,Sep 5 2018,16,199,21,21,82.49%
603,Sudoku Jigsaw,/app/858040/,Sep 13 2018,23,156,15,15,82.47%
604,Space Elite Force,/app/855850/,May 17 2018,5,141,13,13,82.45%
605,Jewel Match Solitaire,/app/886070/,Jul 26 2018,27,103,8,8,82.45%
606,Food Drive,/app/937350/,Oct 9 2018,476,95,7,7,82.45%
607,Inch by Inch,/app/992120/,Dec 31 2018,14,52,2,2,82.44%
608,Strange Brigade,/app/312670/,Aug 28 2018,"1,956","5,177",916,916,82.43%
609,The Haunted Graveyard,/app/931930/,Oct 9 2018,10,61,3,3,82.42%
610,Break The Targets,/app/802130/,Jun 21 2018,10,42,1,1,82.41%
611,Google Spotlight Stories: Back to the Moon,/app/832080/,May 2 2018,65,42,1,1,82.41%
612,In Celebration of Violence,/app/509570/,Feb 15 2018,262,413,54,54,82.40%
613,Lost Frontier,/app/928970/,Oct 19 2018,5,31,0,0,82.39%
614,Galaxy Champions TV,/app/842750/,Sep 6 2018,6,94,7,7,82.37%
615,Sudoku Zenkai,/app/809850/,Apr 2 2018,121,168,17,17,82.35%
616,Fare Thee Well,/app/674580/,Apr 7 2018,19,117,10,10,82.35%
617,Gal*Gun 2,/app/851890/,Jul 20 2018,145,"1,331",211,211,82.33%
618,Crash Wheels,/app/514920/,Dec 20 2018,515,969,148,148,82.31%
619,SLICE,/app/840310/,May 10 2018,6,51,2,2,82.31%
620,Museum of Symmetry,/app/870890/,Aug 9 2018,8,60,3,3,82.30%
621,Slipstream,/app/732810/,May 21 2018,145,"1,201",189,189,82.28%
622,Jack N' Jill DX,/app/873560/,Sep 28 2018,4,85,6,6,82.28%
623,Diamond Caves,/app/929850/,Nov 15 2018,8,41,1,1,82.27%
